date,institution,FUTURE_INDEX,CALL_OI,PUT_OI,OPTIONS_NET_OI,FUTURE_INDEX_CHANGE,CALL_OI_CHANGE,PUT_OI_CHANGE,OPTIONS_NET_OI_CHANGE
2025-01-01,CLIENT,259932.0,-259450.0,-927392.0,667942.0,,,,
2025-01-01,DII,-3162.0,0.0,173276.0,-173276.0,,,,
2025-01-01,FII,-234196.0,401783.0,682689.0,-280906.0,,,,
2025-01-01,PRO,-22574.0,-142333.0,71428.0,-213761.0,,,,
2025-01-02,CLIENT,220842.0,-136825.0,-644954.0,508129.0,-39090.0,122625.0,282438.0,-159813.0
2025-01-02,DII,213.0,0.0,193276.0,-193276.0,3375.0,0.0,20000.0,-20000.0
2025-01-02,FII,-202346.0,99942.0,360225.0,-260283.0,31850.0,-301841.0,-322464.0,20623.0
2025-01-02,PRO,-18709.0,36883.0,91453.0,-54570.0,3865.0,179216.0,20025.0,159191.0
2025-01-03,CLIENT,251340.0,-128279.0,-865572.0,737293.0,30498.0,8546.0,-220618.0,229164.0
2025-01-03,DII,995.0,70.0,193276.0,-193206.0,782.0,70.0,0.0,70.0
2025-01-03,FII,-229994.0,33559.0,357642.0,-324083.0,-27648.0,-66383.0,-2583.0,-63800.0
2025-01-03,PRO,-22341.0,94650.0,314653.0,-220003.0,-3632.0,57767.0,223200.0,-165433.0
2025-01-06,CLIENT,241638.0,155128.0,-853721.0,1008849.0,-9702.0,283407.0,11851.0,271556.0
2025-01-06,DII,682.0,70.0,177076.0,-177006.0,-313.0,0.0,-16200.0,16200.0
2025-01-06,FII,-222477.0,130926.0,391091.0,-260165.0,7517.0,97367.0,33449.0,63918.0
2025-01-06,PRO,-19843.0,-286124.0,285554.0,-571678.0,2498.0,-380774.0,-29099.0,-351675.0
2025-01-07,CLIENT,236195.0,213920.0,-678742.0,892662.0,-5443.0,58792.0,174979.0,-116187.0
2025-01-07,DII,-1768.0,70.0,175956.0,-175886.0,-2450.0,0.0,-1120.0,1120.0
2025-01-07,FII,-221017.0,69619.0,325110.0,-255491.0,1460.0,-61307.0,-65981.0,4674.0
2025-01-07,PRO,-13410.0,-283609.0,177676.0,-461285.0,6433.0,2515.0,-107878.0,110393.0
2025-01-08,CLIENT,265133.0,391176.0,-615683.0,1006859.0,28938.0,177256.0,63059.0,114197.0
2025-01-08,DII,-2736.0,70.0,170956.0,-170886.0,-968.0,0.0,-5000.0,5000.0
2025-01-08,FII,-238321.0,955.0,295564.0,-294609.0,-17304.0,-68664.0,-29546.0,-39118.0
2025-01-08,PRO,-24076.0,-392201.0,149164.0,-541365.0,-10666.0,-108592.0,-28512.0,-80080.0
2025-01-09,CLIENT,288503.0,330145.0,-666141.0,996286.0,23370.0,-61031.0,-50458.0,-10573.0
2025-01-09,DII,-3641.0,70.0,165198.0,-165128.0,-905.0,0.0,-5758.0,5758.0
2025-01-09,FII,-267829.0,-3174.0,293005.0,-296179.0,-29508.0,-4129.0,-2559.0,-1570.0
2025-01-09,PRO,-17033.0,-327041.0,207937.0,-534978.0,7043.0,65160.0,58773.0,6387.0
2025-01-10,CLIENT,314078.0,371508.0,-711062.0,1082570.0,25575.0,41363.0,-44921.0,86284.0
2025-01-10,DII,-2589.0,70.0,159470.0,-159400.0,1052.0,0.0,-5728.0,5728.0
2025-01-10,FII,-277810.0,-14588.0,317372.0,-331960.0,-9981.0,-11414.0,24367.0,-35781.0
2025-01-10,PRO,-33679.0,-356990.0,234220.0,-591210.0,-16646.0,-29949.0,26283.0,-56232.0
2025-01-13,CLIENT,324234.0,543567.0,-710899.0,1254466.0,10156.0,172059.0,163.0,171896.0
2025-01-13,DII,-1687.0,70.0,154930.0,-154860.0,902.0,0.0,-4540.0,4540.0
2025-01-13,FII,-295210.0,62521.0,486089.0,-423568.0,-17400.0,77109.0,168717.0,-91608.0
2025-01-13,PRO,-27337.0,-606158.0,69880.0,-676038.0,6342.0,-249168.0,-164340.0,-84828.0
2025-01-14,CLIENT,319544.0,322651.0,-680591.0,1003242.0,-4690.0,-220916.0,30308.0,-251224.0
2025-01-14,DII,233.0,70.0,161430.0,-161360.0,1920.0,0.0,6500.0,-6500.0
2025-01-14,FII,-294837.0,205478.0,527944.0,-322466.0,373.0,142957.0,41855.0,101102.0
2025-01-14,PRO,-24940.0,-528199.0,-8783.0,-519416.0,2397.0,77959.0,-78663.0,156622.0
2025-01-15,CLIENT,312873.0,469731.0,-482057.0,951788.0,-6671.0,147080.0,198534.0,-51454.0
2025-01-15,DII,316.0,70.0,161430.0,-161360.0,83.0,0.0,0.0,0.0
2025-01-15,FII,-290204.0,26723.0,344029.0,-317306.0,4633.0,-178755.0,-183915.0,5160.0
2025-01-15,PRO,-22985.0,-496524.0,-23403.0,-473121.0,1955.0,31675.0,-14620.0,46295.0
2025-01-16,CLIENT,307142.0,150826.0,-664987.0,815813.0,-5731.0,-318905.0,-182930.0,-135975.0
2025-01-16,DII,16197.0,70.0,161274.0,-161204.0,15881.0,0.0,-156.0,156.0
2025-01-16,FII,-297496.0,207896.0,514198.0,-306302.0,-7292.0,181173.0,170169.0,11004.0
2025-01-16,PRO,-25843.0,-358792.0,-10485.0,-348307.0,-2858.0,137732.0,12918.0,124814.0
2025-01-17,CLIENT,315567.0,244459.0,-641218.0,885677.0,8425.0,93633.0,23769.0,69864.0
2025-01-17,DII,26987.0,70.0,156274.0,-156204.0,10790.0,0.0,-5000.0,5000.0
2025-01-17,FII,-326838.0,146695.0,437938.0,-291243.0,-29342.0,-61201.0,-76260.0,15059.0
2025-01-17,PRO,-15716.0,-391224.0,47007.0,-438231.0,10127.0,-32432.0,57492.0,-89924.0
2025-01-20,CLIENT,318430.0,59545.0,-526011.0,585556.0,2863.0,-184914.0,115207.0,-300121.0
2025-01-20,DII,27747.0,70.0,155274.0,-155204.0,760.0,0.0,-1000.0,1000.0
2025-01-20,FII,-333139.0,199958.0,450227.0,-250269.0,-6301.0,53263.0,12289.0,40974.0
2025-01-20,PRO,-13038.0,-259573.0,-79489.0,-180084.0,2678.0,131651.0,-126496.0,258147.0
2025-01-21,CLIENT,315981.0,286208.0,-692610.0,978818.0,-2449.0,226663.0,-166599.0,393262.0
2025-01-21,DII,29953.0,70.0,140274.0,-140204.0,2206.0,0.0,-15000.0,15000.0
2025-01-21,FII,-349977.0,182834.0,439116.0,-256282.0,-16838.0,-17124.0,-11111.0,-6013.0
2025-01-21,PRO,4043.0,-469112.0,113219.0,-582331.0,17081.0,-209539.0,192708.0,-402247.0
2025-01-22,CLIENT,310707.0,242441.0,-459707.0,702148.0,-5274.0,-43767.0,232903.0,-276670.0
2025-01-22,DII,39515.0,70.0,140274.0,-140204.0,9562.0,0.0,0.0,0.0
2025-01-22,FII,-350328.0,136189.0,167897.0,-31708.0,-351.0,-46645.0,-271219.0,224574.0
2025-01-22,PRO,106.0,-378700.0,151535.0,-530235.0,-3937.0,90412.0,38316.0,52096.0
2025-01-23,CLIENT,304307.0,-162049.0,-514699.0,352650.0,-6400.0,-404490.0,-54992.0,-349498.0
2025-01-23,DII,40717.0,70.0,140370.0,-140300.0,1202.0,0.0,96.0,-96.0
2025-01-23,FII,-328511.0,382208.0,315479.0,66729.0,21817.0,246019.0,147582.0,98437.0
2025-01-23,PRO,-16513.0,-220229.0,58851.0,-279080.0,-16619.0,158471.0,-92684.0,251155.0
2025-01-24,CLIENT,289220.0,-59263.0,-645108.0,585845.0,-15087.0,102786.0,-130409.0,233195.0
2025-01-24,DII,41180.0,70.0,140370.0,-140300.0,463.0,0.0,0.0,0.0
